@relation reordered_features_2017_format

@attribute 'Destination Port' numeric
@attribute 'Flow Duration' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute 'FIN Flag Count' numeric
@attribute 'SYN Flag Count' numeric
@attribute 'RST Flag Count' numeric
@attribute Label {DoS}

@data
893,2,58,0,1,0,DoS
611,2,58,0,1,0,DoS
287,1,58,0,1,0,DoS
285,12,58,0,1,0,DoS
73,59,58,0,1,0,DoS
162,930,58,0,1,0,DoS
708,8,58,0,1,0,DoS
500,2,58,0,1,0,DoS
733,2,58,0,1,0,DoS
903,1,58,0,1,0,DoS
672,2,58,0,1,0,DoS
375,2,58,0,1,0,DoS
71,2,58,0,1,0,DoS
837,2,58,0,1,0,DoS
157,1,58,0,1,0,DoS
631,2,58,0,1,0,DoS
832,2,58,0,1,0,DoS
140,1,58,0,1,0,DoS
717,2,58,0,1,0,DoS
115,2,58,0,1,0,DoS
149,59,58,0,1,0,DoS
833,2,58,0,1,0,DoS
366,23,58,0,1,0,DoS
81,374,58,0,1,0,DoS
26,723,58,0,1,0,DoS
396,2,58,0,1,0,DoS
838,2,58,0,1,0,DoS
388,2,58,0,1,0,DoS
865,1,58,0,1,0,DoS
390,2,58,0,1,0,DoS
627,2,58,0,1,0,DoS
393,1,58,0,1,0,DoS
991,2,58,0,1,0,DoS
840,2,58,0,1,0,DoS
943,1,58,0,1,0,DoS
949,2,58,0,1,0,DoS
3,2,58,0,1,0,DoS
962,13,58,0,1,0,DoS
654,2,58,0,1,0,DoS
524,2,58,0,1,0,DoS
987,1,58,0,1,0,DoS
24,2,58,0,1,0,DoS
294,20,58,0,1,0,DoS
120,61,58,0,1,0,DoS
792,55,58,0,1,0,DoS
168,59,58,0,1,0,DoS
553,59,58,0,1,0,DoS
263,58,58,0,1,0,DoS
426,57,58,0,1,0,DoS
876,58,58,0,1,0,DoS
716,58,58,0,1,0,DoS
76,58,58,0,1,0,DoS
339,57,58,0,1,0,DoS
39527,89,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,24,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,13,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,14,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,14,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,945,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,21,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,47,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,24,54,0,0,1,DoS
39527,379,54,0,0,1,DoS
39527,718,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,12,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,13,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,11,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,18,54,0,0,1,DoS
39527,65,54,0,0,1,DoS
39527,49,54,0,0,1,DoS
39527,61,54,0,0,1,DoS
39527,60,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
406,21237,58,0,1,0,DoS
757,8,58,0,1,0,DoS
671,2,58,0,1,0,DoS
972,2,58,0,1,0,DoS
521,1,58,0,1,0,DoS
709,14,58,0,1,0,DoS
427,1,58,0,1,0,DoS
7,2,58,0,1,0,DoS
182,1,58,0,1,0,DoS
292,2,58,0,1,0,DoS
600,1,58,0,1,0,DoS
549,1,58,0,1,0,DoS
977,2,58,0,1,0,DoS
722,1,58,0,1,0,DoS
588,2,58,0,1,0,DoS
641,1,58,0,1,0,DoS
528,1,58,0,1,0,DoS
633,15,58,0,1,0,DoS
647,1,58,0,1,0,DoS
606,2,58,0,1,0,DoS
729,1,58,0,1,0,DoS
541,1,58,0,1,0,DoS
424,2,58,0,1,0,DoS
210,1,58,0,1,0,DoS
224,2,58,0,1,0,DoS
760,1,58,0,1,0,DoS
908,1,58,0,1,0,DoS
604,2,58,0,1,0,DoS
872,1,58,0,1,0,DoS
683,12,58,0,1,0,DoS
846,59,58,0,1,0,DoS
994,58,58,0,1,0,DoS
574,58,58,0,1,0,DoS
172,58,58,0,1,0,DoS
772,58,58,0,1,0,DoS
735,58,58,0,1,0,DoS
307,58,58,0,1,0,DoS
691,58,58,0,1,0,DoS
430,58,58,0,1,0,DoS
330,58,58,0,1,0,DoS
495,58,58,0,1,0,DoS
826,58,58,0,1,0,DoS
344,58,58,0,1,0,DoS
486,58,58,0,1,0,DoS
622,58,58,0,1,0,DoS
620,58,58,0,1,0,DoS
175,58,58,0,1,0,DoS
916,58,58,0,1,0,DoS
33,58,58,0,1,0,DoS
480,58,58,0,1,0,DoS
745,1630,58,0,1,0,DoS
86,9,58,0,1,0,DoS
1,2,58,0,1,0,DoS
841,1,58,0,1,0,DoS
614,2,58,0,1,0,DoS
750,20,58,0,1,0,DoS
321,2,58,0,1,0,DoS
220,2,58,0,1,0,DoS
296,2,58,0,1,0,DoS
918,1,58,0,1,0,DoS
279,2,58,0,1,0,DoS
955,1,58,0,1,0,DoS
625,2,58,0,1,0,DoS
982,1,58,0,1,0,DoS
410,2,58,0,1,0,DoS
543,1,58,0,1,0,DoS
496,1,58,0,1,0,DoS
310,2,58,0,1,0,DoS
109,1,58,0,1,0,DoS
629,2,58,0,1,0,DoS
805,1,58,0,1,0,DoS
668,2,58,0,1,0,DoS
482,1,58,0,1,0,DoS
863,2,58,0,1,0,DoS
93,1,58,0,1,0,DoS
245,2,58,0,1,0,DoS
331,1,58,0,1,0,DoS
896,2,58,0,1,0,DoS
368,14,58,0,1,0,DoS
186,26,58,0,1,0,DoS
39527,30,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,17,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,13,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,12,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,14,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
547,4,58,0,1,0,DoS
39527,61,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,62,54,0,0,1,DoS
39527,53,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,1646,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,19,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,15,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,22,54,0,0,1,DoS
39527,23,54,0,0,1,DoS
39527,107,54,0,0,1,DoS
489,21715,58,0,1,0,DoS
776,8,58,0,1,0,DoS
62,2,58,0,1,0,DoS
38,2,58,0,1,0,DoS
773,1,58,0,1,0,DoS
852,1,58,0,1,0,DoS
472,2,58,0,1,0,DoS
60,1,58,0,1,0,DoS
538,2,58,0,1,0,DoS
556,1,58,0,1,0,DoS
867,2,58,0,1,0,DoS
795,2,58,0,1,0,DoS
265,1,58,0,1,0,DoS
273,1,58,0,1,0,DoS
519,2,58,0,1,0,DoS
763,2,58,0,1,0,DoS
567,1,58,0,1,0,DoS
913,2,58,0,1,0,DoS
340,1,58,0,1,0,DoS
27,2,58,0,1,0,DoS
710,2,58,0,1,0,DoS
43,1,58,0,1,0,DoS
356,2,58,0,1,0,DoS
892,1,58,0,1,0,DoS
51,2,58,0,1,0,DoS
6,1,58,0,1,0,DoS
451,1,58,0,1,0,DoS
720,2,58,0,1,0,DoS
505,40,58,0,1,0,DoS
790,2,58,0,1,0,DoS
845,47,58,0,1,0,DoS
712,59,58,0,1,0,DoS
159,58,58,0,1,0,DoS
483,58,58,0,1,0,DoS
573,59,58,0,1,0,DoS
258,58,58,0,1,0,DoS
268,58,58,0,1,0,DoS
304,58,58,0,1,0,DoS
822,58,58,0,1,0,DoS
313,58,58,0,1,0,DoS
185,58,58,0,1,0,DoS
986,58,58,0,1,0,DoS
374,58,58,0,1,0,DoS
289,58,58,0,1,0,DoS
281,58,58,0,1,0,DoS
42,58,58,0,1,0,DoS
639,58,58,0,1,0,DoS
342,58,58,0,1,0,DoS
223,58,58,0,1,0,DoS
436,58,58,0,1,0,DoS
39527,1784,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
